;annee;mois;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P10P1;marche;rf
oct-88;1988;10;0,007168;0,02743;0,024082;0,005565;0,015921;0,014692;0,033901;0,035336;0,046776;0,041229;0,034061;0,0176;0,0061
nov-88;1988;11;-0,039372;0,002671;-0,013243;-0,016596;-0,011884;-0,002158;-0,027023;-0,015878;-0,007075;-0,002483;0,036889;-0,0164;0,0057
d�c-88;1988;12;0,002804;-0,006007;0,012603;-0,002016;0,021843;0,025461;0,013678;0,03854;0,017171;0,026404;0,0236;0,0211;0,0063
janv-89;1989;1;0,04689;0,008125;0,015655;0,029087;0,020096;0,027089;0,016763;0,035195;0,050463;0,083258;0,036368;0,0661;0,0055
f�vr-89;1989;2;-0,018453;-0,018412;-0,015779;-0,042182;-0,02534;-0,016294;-0,011109;-0,000227;-0,007608;-0,000766;0,017687;-0,0164;0,0061
mars-89;1989;3;0,002152;0,000364;0,0176;-0,007422;-0,023582;-0,008112;0,029073;0,028314;0,004627;0,010306;0,008154;0,0215;0,0067
avr-89;1989;4;0,012997;0,029279;0,033225;0,024008;0,02179;0,026;0,034611;0,027902;0,061678;0,070181;0,057184;0,0482;0,0067
mai-89;1989;5;0,045676;0,038863;0,049553;0,029565;0,065871;0,07665;0,027057;0,052875;0,039955;0,005126;-0,04055;0,0393;0,0079
juin-89;1989;6;0,01811;0,025055;0,049358;0,004963;-0,012512;0,025282;0,037835;0,01837;0,037358;0,023725;0,005615;-0,0049;0,0071
juil-89;1989;7;0,025115;0,062155;0,049057;0,05746;0,043662;0,047877;0,056251;0,029756;0,068687;0,035213;0,010098;0,0771;0,007
ao�t-89;1989;8;0,031689;0,003206;0,013166;-0,001223;0,027568;0,000879;-4,40E-05;-0,018328;-0,002629;0,030467;-0,001222;0,0221;0,0074
sept-89;1989;9;-0,041558;0,000773;0,001583;-0,018578;-0,000892;0,008578;0,030152;0,005702;0,024232;-0,021955;0,019603;-0,0015;0,0065
oct-89;1989;10;-0,058322;0,023233;0,001438;-0,024405;-0,007314;-0,002265;-0,006383;0,006551;-0,014696;-0,044049;0,014273;-0,0293;0,0068
nov-89;1989;11;-0,08914;0,014006;0,02843;0,039752;0,008192;0,043655;0,049281;0,015446;0,032887;0,022854;0,111994;0,0178;0,0069
d�c-89;1989;12;0,087711;0,059871;0,042236;0,00182;0,021866;0,039073;0,039872;0,03609;0,041225;0,055556;-0,032155;0,0183;0,0061
janv-90;1990;1;-0,073654;-0,057014;-0,050953;-0,05773;-0,063201;-0,073449;-0,080008;-0,045279;-0,09273;-0,104178;-0,030524;-0,0701;0,0057
f�vr-90;1990;2;-0,007152;0,009156;0,023432;0,01784;0,009903;0,010754;0,024951;0,009489;-0,001531;0,024851;0,032003;0,0149;0,0057
mars-90;1990;3;0,020966;-0,004663;0,009397;0,011074;0,003133;0,004596;-0,006689;-0,026974;-0,007513;0,01239;-0,008576;0,0241;0,0064
avr-90;1990;4;-0,063734;-0,04599;-0,017432;-0,04467;-0,025859;-0,047499;-0,030313;-0,077999;-0,044175;-0,070898;-0,007164;-0,0283;0,0069
