"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1"
"2/2003";2003;2;0,27202;0,17981;0,07053;0,1701;0,06265;0,16319;0,1452;-0,04234;0,23884;0,02103;-0,25099
"3/2003";2003;3;0,27188;0,18306;0,07922;0,17612;0,06016;0,16568;0,14721;-0,03633;0,2471;0,02189;-0,24999
"4/2003";2003;4;0,27058;0,1815;0,07852;0,17424;0,05849;0,16187;0,14556;-0,03971;0,24333;0,02109;-0,24949
"5/2003";2003;5;0,25842;0,18325;0,08125;0,17998;0,06214;0,16498;0,14702;-0,0269;0,26243;0,03465;-0,22377
"6/2003";2003;6;0,25464;0,1889;0,12189;0,1928;0,07728;0,1789;0,16397;-0,00726;0,26992;0,04929;-0,20535
"7/2003";2003;7;0,23667;0,20561;0,13811;0,1965;0,08809;0,19743;0,17486;-0,00365;0,2941;0,0775;-0,15917
"8/2003";2003;8;0,20374;0,17689;0,10859;0,18001;0,07475;0,18036;0,15495;-0,00933999999999999;0,25805;0,06036;-0,14338
"9/2003";2003;9;0,19765;0,19118;0,11697;0,21285;0,08693;0,2072;0,17652;0,00806999999999999;0,28681;0,07419;-0,12346
"10/2003";2003;10;0,19916;0,2143;0,13465;0,23361;0,10025;0,22406;0,20695;0,01932;0,3004;0,0824;-0,11676
"11/2003";2003;11;0,23011;0,20305;0,11915;0,2093;0,06539;0,20302;0,18338;0,01257;0,29662;0,07814;-0,15197
"12/2003";2003;12;0,2285;0,19725;0,12108;0,20549;0,06211;0,20312;0,1871;0,00979;0,29105;0,08064;-0,14786
"1/2004";2004;1;0,23028;0,21222;0,13399;0,24072;0,08533;0,22354;0,18867;0,06163;0,30234;0,10036;-0,12992
"2/2004";2004;2;0,19066;0,19007;0,13706;0,20711;0,08643;0,2158;0,16012;0,042;0,2878;0,09463;-0,09603
"3/2004";2004;3;0,17549;0,16611;0,1201;0,19407;0,05196;0,19587;0,15585;0,04017;0,29808;0,07831;-0,09718
"4/2004";2004;4;0,19431;0,16754;0,11749;0,19381;0,03302;0,18884;0,1303;0,0414;0,28701;0,06871;-0,1256
"5/2004";2004;5;0,19347;0,1696;0,13073;0,20069;0,05193;0,17259;0,15173;0,04405;0,29903;0,11859;-0,07488
"6/2004";2004;6;0,19314;0,15381;0,10893;0,18787;0,00744;0,13776;0,12952;0,03936;0,29324;0,09172;-0,10142
"7/2004";2004;7;0,1952;0,15884;0,1067;0,18472;0,00138;0,1382;0,1221;0,03292;0,29627;0,09538;-0,09982
"8/2004";2004;8;0,18661;0,15751;0,10798;0,17935;0,00449000000000002;0,14416;0,12161;0,02834;0,29809;0,10512;-0,08149
"9/2004";2004;9;0,17179;0,15013;0,0922;0,17548;-0,00455;0,13452;0,12408;0,01815;0,29292;0,12947;-0,04232
"10/2004";2004;10;0,17079;0,1506;0,09289;0,17819;-0,00646000000000002;0,13097;0,12464;0,019;0,29091;0,13081;-0,03998
"11/2004";2004;11;0,11274;0,11732;0,07489;0,25032;-0,0121;0,20793;0,10077;-0,00498000000000001;0,34648;0,21393;0,10119
"12/2004";2004;12;0,12284;0,11283;0,0676;0,24715;-0,00847000000000002;0,20153;0,09556;0,000679999999999996;0,34923;0,23292;0,11008
