"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1"
"11/2003";2003;11;1,462813;0,638332;0,981087;0,693224;0,417907;0,34784;0,543254;0,680105;0,435633;0,798793;-0,66402
"12/2003";2003;12;1,466277;0,640861;0,981139;0,699886;0,41636;0,345594;0,538522;0,669762;0,423163;0,791985;-0,674292
"1/2004";2004;1;1,070635;0,940763;0,404228;0,591251;0,550694;0,511303;0,716832;0,819718;0,443735;0,675745;-0,39489
"2/2004";2004;2;1,040678;0,931898;0,388292;0,590676;0,538904;0,505682;0,713018;0,816713;0,445559;0,690395;-0,350283
"3/2004";2004;3;1,040669;0,920955;0,378434;0,572935;0,533985;0,486917;0,712371;0,804135;0,447667;0,682428;-0,358241
"4/2004";2004;4;1,047354;0,925412;0,378423;0,576817;0,534783;0,48321;0,710503;0,802302;0,44551;0,671353;-0,376001
"5/2004";2004;5;1,059028;0,940589;0,38898;0,566466;0,53468;0,499627;0,725702;0,809188;0,471777;0,677825;-0,381203
"6/2004";2004;6;1,056897;0,940646;0,398314;0,575467;0,54225;0,520527;0,7403;0,819648;0,479742;0,697802;-0,359095
"7/2004";2004;7;1,07203;0,944893;0,39736;0,584088;0,527568;0,522328;0,756916;0,844046;0,481879;0,704632;-0,367398
"8/2004";2004;8;1,090167;0,969503;0,416246;0,59579;0,527185;0,529094;0,766761;0,876221;0,505068;0,709923;-0,380244
"9/2004";2004;9;1,081437;0,960917;0,417619;0,594205;0,532246;0,53024;0,770301;0,877524;0,50243;0,710758;-0,370679
"10/2004";2004;10;1,084331;0,959469;0,414244;0,595988;0,530695;0,519979;0,766116;0,895956;0,490785;0,715319;-0,369012
"11/2004";2004;11;1,07244;0,953217;0,407211;0,597373;0,527344;0,51814;0,779658;0,917167;0,455393;0,683436;-0,389004
"12/2004";2004;12;1,070841;0,95118;0,408907;0,594065;0,557316;0,529186;0,762834;0,914046;0,464486;0,684543;-0,386298
