"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1"
"11/2003";2003;11;0,755801;0,709237;0,661719;1,021961;0,669673;0,920385;0,902715;0,625839;1,110839;0,756265;0,000464000000000242
"12/2003";2003;12;0,758335;0,701114;0,664929;1,012185;0,666393;0,915898;0,909457;0,619887;1,103245;0,754177;-0,00415800000000011
"1/2004";2004;1;0,746297;0,719867;0,68005;1,042384;0,657746;0,923608;0,90584;0,643296;1,09464;0,75825;0,011953
"2/2004";2004;2;0,676972;0,682406;0,686897;0,984766;0,659426;0,907983;0,859792;0,608665;1,071032;0,748912;0,07194
"3/2004";2004;3;0,664975;0,658604;0,671819;0,974685;0,624218;0,890504;0,856438;0,60887;1,080174;0,73421;0,0692349999999999
"4/2004";2004;4;0,688069;0,660432;0,67051;0,970961;0,607309;0,881007;0,828323;0,604884;1,069577;0,724221;0,0361520000000001
"5/2004";2004;5;0,682619;0,665177;0,691458;0,980678;0,636055;0,853129;0,861161;0,610959;1,082327;0,793094;0,110475
"6/2004";2004;6;0,682468;0,655871;0,67854;0,973139;0,609923;0,832553;0,848173;0,608268;1,07885;0,777376;0,094908
"7/2004";2004;7;0,68683;0,666535;0,675524;0,967871;0,59996;0,833878;0,836396;0,595695;1,083633;0,784085;0,0972550000000001
"8/2004";2004;8;0,698993;0,671004;0,674962;0,973196;0,601123;0,834865;0,845295;0,596181;1,092403;0,79164;0,092647
"9/2004";2004;9;0,681947;0,662958;0,658228;0,970825;0,592003;0,826242;0,8504;0,5846;1,087268;0,828613;0,146666
"10/2004";2004;10;0,669171;0,666186;0,662264;0,981811;0,589578;0,815162;0,856602;0,585876;1,086014;0,835565;0,166394
"11/2004";2004;11;0,629073;0,640526;0,64955;1,024835;0,585109;0,857088;0,838639;0,565987;1,119822;0,888624;0,259551
"12/2004";2004;12;0,642625;0,634204;0,621776;1,016509;0,598284;0,832447;0,814238;0,598752;1,110841;0,958615;0,31599
