"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1";"marche";"rf"
"7/1988";1988;7;-0,006569563;-0,012841829;-0,005189184;-0,001182181;-0,000195195;-0,016864848;-0,013649636;0,014793192;-0,059074015;0,032670297;0,03923986;-0,0073;0,0051
"8/1988";1988;8;-0,01477;-0,004953;-0,009499;0,002168;0,007728;0,003303;-0,011364;-0,036158;0,008906;0,028831;0,043601;-0,028;0,0059
"9/1988";1988;9;0,066449;0,031562;0,032134;0,010125;0,030813;0,029678;0,029067;0,054731;0,041424;-0,047732;-0,114181;0,0372;0,0062
"10/1988";1988;10;0,02748249;0,014308677;0,022730247;0,031853115;0,010890099;0,014860125;0,022558419;0,007574418;0,028960011;0,070630299;0,043147809;0,0176;0,0061
"11/1988";1988;11;-0,035925;-0,018027;-0,015481;-0,00815;-0,00166;-0,010928;-0,021044;0,003954;-0,005787;-0,019993;0,015932;-0,0164;0,0057
"12/1988";1988;12;0,001017;-0,010561;0,002917;0,026273;0,014136;0,024079;0,016033;0,034017;-0,021831;0,064401;0,063384;0,0211;0,0063
"1/1989";1989;1;0,011697291;-0,007096089;-0,00262262;0,015903081;0,036862101;0,013358628;0,037365597;0,04676319;0,067598334;0,112439448;0,100742157;0,0661;0,0055
"2/1989";1989;2;-0,043052;-0,021456;-0,012249;-0,012646;-0,023481;-0,013799;-0,02023;-0,01028;-0,028907;0,02993;0,072982;-0,0164;0,0061
"3/1989";1989;3;-0,068444;-0,01506;-0,008977;-0,017084;-0,011573;0,015448;0,009345;0,006421;0,060347;0,082897;0,151341;0,0215;0,0067
"4/1989";1989;4;-0,012316304;0,046644309;0,033391575;0,037990971;0,065782152;0,038136825;0,01991007;0,048519432;0,020782197;0,042463494;0,054779798;0,0482;0,0067
"5/1989";1989;5;0,037693;0,043772;0,052507;0,048243;0,061101;0,054424;0,045656;0,036422;0,041616;0,009757;-0,027936;0,0393;0,0079
"6/1989";1989;6;-0,032396;0,012923;0,019132;0,02241;0,029396;0,043457;0,047531;0,071466;0,029166;-0,015541;0,016855;-0,0049;0,0071
"7/1989";1989;7;0,028347624;0,054519426;0,05798196;0,049970979;0,043334622;0,052378569;0,03858138;0,037669293;0,067969962;0,044003952;0,015656328;0,0771;0,007
"8/1989";1989;8;0,039683;0,006824;-0,00947;-0,007695;0,02107;-0,00714;-0,018207;-0,011271;0,043212;0,027745;-0,011938;0,0221;0,0074
"9/1989";1989;9;-0,019341;0,003568;0,007626;0,015628;-0,039071;0,000693000000000001;-0,017931;0,018022;0,011455;0,007388;0,026729;-0,0015;0,0065
"10/1989";1989;10;-0,065370305;-0,000193193;0,014014971;-0,000965965000000001;-0,039887848;0,009475515;0,030771198;-0,002069067;-0,03068065;-0,0415415;0,023828805;-0,0293;0,0068
"11/1989";1989;11;-0,087339;0,035356;0,02379;0,021477;0,055921;0,016563;0,028819;0,022495;0,013045;0,035236;0,122575;0,0178;0,0069
"12/1989";1989;12;0,096195;0,043999;0,051972;0,037732;0,003443;0,048942;0,031375;0,031643;0,008803;0,071216;-0,024979;0,0183;0,0061
"1/1990";1990;1;-0,158497339;-0,107025919;-0,066777711;-0,06753747;-0,075116041;-0,062105043;-0,04568564;-0,055344289;-0,051589538;-0,009215206;0,149282133;-0,0701;0,0057
"2/1990";1990;2;-0,03295;0,017076;-0,017565;-0,0151;0,015272;0,02052;0,016697;0,021037;0,024402;0,072304;0,105254;0,0149;0,0057
"3/1990";1990;3;-0,063291;-0,027773;-0,016333;0,003891;-0,000987;-0,000460999999999999;-0,000813000000000001;0,020043;0,044021;0,05742;0,120711;0,0241;0,0064
"4/1990";1990;4;-0,073644571;-0,049512463;-0,056535479;-0,056078022;-0,035911876;-0,029015987;-0,010137127;-0,040631591;-0,038351313;-0,07921914;-0,005574569;-0,0283;0,0069
"5/1990";1990;5;0,086835;0,054111;0,035914;0,045297;0,026887;0,039042;0,054238;0,056713;0,039218;0,045919;-0,040916;0,0889;0,0068
"6/1990";1990;6;-0,026896;0,010635;-0,002491;0,000923;0,013549;-0,005802;0,010975;-0,000658999999999999;0,025255;-0,007285;0,019611;-0,0042;0,0063
"7/1990";1990;7;0,020747232;-0,0063063;0,002415582;-0,013574561;0,020977002;-0,003118115;0,017189793;0,018991989;0,013431555;-0,044776732;-0,065523964;-0,0094;0,0068
"8/1990";1990;8;-0,137318;-0,04123;-0,084381;-0,045928;-0,040425;-0,048551;-0,077831;-0,044335;-0,082203;-0,100208;0,03711;-0,0919;0,0066
"9/1990";1990;9;-0,067857;0,033559;0,002096;0,020899;-0,003002;-0,006934;-0,038103;0,020047;-0,019011;-0,120972;-0,053115;-0,0538;0,006
"10/1990";1990;10;-0,055124069;0,033857109;0,062628309;0,04348647;0,066820113;0,031076892;0,045873081;0,052593354;0,029849121;0,001477521;0,05660159;-0,0125;0,0068
"11/1990";1990;11;0,092168;0,028817;0,023757;0,030178;0,034445;0,039452;0,046509;0,01203;0,037066;0,035884;-0,056284;0,0657;0,0057
"12/1990";1990;12;-0,039807;0,00328;0,025109;0,012893;0,006784;0,038042;0,027573;-0,009453;-0,004402;0,026955;0,066762;0,0295;0,006
"1/1991";1991;1;-0,043678635;-0,015908893;-0,004545541;0,009861129;-0,008255247;0,00307692;-0,003121118;0,014527458;0,054995949;0,148486365;0,192165;0,0491;0,0052
"2/1991";1991;2;0,033975;0,024355;0,018812;0,039089;0,053085;0,057651;0,062585;0,063931;0,0837;0,105629;0,071654;0,0758;0,0048
"3/1991";1991;3;-0,014346;0,005074;0,015989;-0,000776;0,015149;0,012332;0,030404;0,029549;0,016669;0,038101;0,052447;0,0289;0,0044
"4/1991";1991;4;0,007818174;0,015700284;0,008807184;-0,000446446;0,005867127;0,009642348;0,011383605;0,022474503;0,020620359;-0,04626622;-0,054084394;0,0033;0,0053
"5/1991";1991;5;0,008748;-0,00229;0,028865;0,014489;-0,003876;0,023967;0,027867;0,00134;0,012217;0,036903;0,028155;0,0407;0,0047
"6/1991";1991;6;-0,019917;-0,032966;-0,018237;-0,006468;-0,030383;-0,025092;-0,038941;-0,018512;-0,028643;-0,049821;-0,029904;-0,044;0,0042
"7/1991";1991;7;0,040681278;0,046505448;0,047857095;0,048257694;0,036251712;0,026194779;0,039873087;0,019911069;0,066458475;0,025906068;-0,01477521;0,0468;0,0049
"8/1991";1991;8;0,027047;0,040943;0,028725;0,024625;0,039183;0,019748;0,020659;0,022514;0,044866;-0,031204;-0,058251;0,0268;0,0046
"9/1991";1991;9;0,03116;0,011387;0,036916;0,026203;0,046234;0,02698;0,028061;0,040177;-0,009534;-0,040778;-0,071938;-0,011;0,0046
"10/1991";1991;10;0,011734254;0,017718264;0,028092879;0,02310687;0,020486493;0,030808161;0,035311653;0,002114883;-0,010947937;0,040104855;0,028370601;0,0178;0,0042
"11/1991";1991;11;-0,026816;0,029224;-0,00673;0,007318;0,040984;0,003521;0,003473;0,0271;-0,019006;-0,035377;-0,008561;-0,0373;0,0039
"12/1991";1991;12;0,04637;0,060549;0,058917;0,069396;0,04508;0,013008;0,036916;0,061129;0,10399;0,112144;0,065774;0,1068;0,0038
"1/1992";1992;1;-0,05350345;-0,06529523;-0,056795739;-0,054057003;-0,040993953;-0,034762728;-0,0107107;0,032801166;0,021339639;0,09649341;0,14999686;-0,0012;0,0034
"2/1992";1992;2;-0,034561;-0,022541;-0,011193;0,000618999999999999;-0,010456;0,012768;0,021543;0,017845;0,068554;0,10018;0,134741;0,0134;0,0028
"3/1992";1992;3;-0,077076;-0,019207;-0,014369;-0,009628;0,003283;-0,005668;-0,010106;-0,027292;-0,003381;0,010554;0,08763;-0,0237;0,0034
"4/1992";1992;4;0,040201758;0,022551426;0,01476522;0,020362617;0,020828151;0,027670302;0,031839129;0,016004979;0,004179816;-0,046754708;-0,086956466;0,0134;0,0032
"5/1992";1992;5;0,01383;0,0408;0,021165;0,037157;0,017902;0,021454;0,022491;0,029922;-0,004641;-0,007144;-0,020974;0,0064;0,0028
"6/1992";1992;6;-0,035462;0,011149;-0,001726;-0,005548;0,017715;0,012357;-0,005112;-0,023706;-0,012701;-0,004158;0,031304;-0,0193;0,0032
"7/1992";1992;7;0,07301691;0,05545449;0,071185743;0,053150796;0,073687239;0,041872086;0,06706287;0,070912017;0,023081895;0,039581379;-0,033435531;0,0399;0,0031
"8/1992";1992;8;-0,011284;0,005708;-0,021727;0,021976;0,009352;-0,006059;0,039071;0,013515;-0,033752;-0,015556;-0,004272;-0,0208;0,0026
"9/1992";1992;9;-0,001859;-0,00494;-0,001012;0,011249;0,001129;0,02957;-0,000419;-0,002937;0,025913;0,047844;0,049703;0,0124;0,0026
"10/1992";1992;10;-0,021079058;-0,016480464;0,010160829;0,001757241;0,003600396;-0,013694681;-0,006824818;0,004510485;0,055066878;0,008073918;0,029152976;0,011;0,0023
"11/1992";1992;11;0,038861;-0,004065;0,022723;0,002211;0,010287;-0,005964;0,016066;0,034749;0,037238;0,05819;0,019329;0,0402;0,0023
"12/1992";1992;12;0,008708;0,039575;0,030405;0,027741;0,033071;0,034034;0,012618;0,003506;0,028082;-0,012815;-0,021523;0,0178;0,0028
"1/1993";1993;1;-0,012008997;-0,002261259;0,003403593;0,040594365;0,027644328;0,02378619;0,052518429;0,005429565;0,041226732;0,048322629;0,060331626;0,0126;0,0023
"2/1993";1993;2;-0,025816;0,021802;0,051889;0,028402;0,057576;0,055463;0,052169;0,063424;0,051994;0,10887;0,134686;0,0054;0,0022
"3/1993";1993;3;0,006082;0,026495;0,005029;0,006514;0,001308;0,014805;0,00697;0,060548;0,067256;0,087006;0,080924;0,0251;0,0025
"4/1993";1993;4;-0,012246234;-0,047681634;-0,006290284;0,008915076;0,000427571999999999;0,007416576;-0,009866857;-0,002766764;-0,008563555;0,003462534;0,015708768;-0,0254;0,0024
"5/1993";1993;5;0,019582;0,018441;0,003753;0,013177;0,000532000000000001;-0,000652;0,027023;-0,014701;-0,010446;0,046264;0,026682;0,0296;0,0022
