"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1";"marche";"rf"
"1/1999";1999;1;-0,129545416;-0,102791689;-0,107423316;-0,074289215;-0,069698629;-0,058035978;-0,078110032;-0,020972952;0,049908042;0,03824172;0,167787136;0,0383;0,0035
"2/1999";1999;2;-0,096321;-0,036908;-0,071155;-0,043195;-0,05062;-0,028884;-0,023097;-0,007495;-0,04089;-0,015038;0,081283;-0,0381;0,0035
"3/1999";1999;3;-0,06168;-0,067289;-0,006198;-0,051034;-0,025373;-0,036122;0,012608;-0,013526;0,009113;0,122622;0,184302;0,0379;0,0043
"4/1999";1999;4;0,050772177;0,055175769;0,057421521;0,055893051;0,061117821;0,036987975;0,023952024;0,032866101;0,036372591;0,003755241;-0,047016936;0,049;0,0037
"5/1999";1999;5;0,069136;0,079788;0,07414;0,082377;0,064451;0,06951;0,055617;0,027768;0,00692;0,014742;-0,054394;-0,0207;0,0034
"6/1999";1999;6;-0,013874;-0,052926;-0,001155;-0,044615;-0,05324;0,006128;0,025846;-0,010689;0,005813;0,036616;0,05049;0,051;0,004
"7/1999";1999;7;0,037337625;0,0245754;0,006169824;0,01616382;-0,008415407;0,007026966;0,017617365;0,027561411;0,016505478;0,004313682;-0,033023943;-0,0306;0,0038
"8/1999";1999;8;0,003425;-0,029769;0,004983;-0,001729;0,009647;0,00138;-0,025947;-0,021567;-0,059836;-0,086008;-0,089433;-0,01;0,0039
"9/1999";1999;9;-0,024342;-0,025035;-0,044474;-0,03248;-0,0469;-0,020573;-0,040416;-0,046351;-0,022021;-0,049045;-0,024703;-0,0229;0,0039
"10/1999";1999;10;0,02371626;-0,00470369900000001;0,028730241;0,017237745;0,01687311;0,009974016;-0,007985978;0,026758215;-0,017300283;0,098232669;0,074516409;0,062;0,0039
"11/1999";1999;11;-0,00787;-0,088439;-0,042024;-0,035775;-0,08696;-0,024877;-0,035427;-0,064204;-0,00543800000000001;0,095122;0,102992;0,0369;0,0036
"12/1999";1999;12;-0,05113;-0,025631;-0,032371;-0,046192;-0,029562;-0,0385;-0,032465;-0,056909;0,022673;0,023672;0,074802;0,0839;0,0044
"1/2000";2000;1;-0,075824749;-0,047498451;-0,009102093;0,001231767;-0,01192191;-0,010172162;0,04009986;-0,018844826;0,033728238;0,186807006;0,262631755;-0,0398;0,0041
"2/2000";2000;2;-0,154594;-0,138804;-0,080773;-0,109676;-0,080337;-0,067761;-0,071402;-0,006155;-0,008625;0,063429;0,218023;0,0318;0,0043
"3/2000";2000;3;-0,056938;0,051586;-0,011973;0,040968;0,056081;0,092337;0,079333;0,110866;0,124813;0,154694;0,211632;0,0536;0,0047
"4/2000";2000;4;0,046000953;0,076090833;0,080025894;0,099482418;0,022409568;0,036290673;0,097623279;0,046424529;0,002095902;-0,051002952;-0,097003905;-0,0595;0,0046
"5/2000";2000;5;0,049062;0,015386;0,025821;0,023186;-0,020602;0,009395;0,032318;-0,038502;-0,062109;-0,011911;-0,060973;-0,039;0,005
"6/2000";2000;6;-0,047174;-0,046533;-0,026422;-0,064521;-0,002286;-0,059436;-0,029311;-0,041732;-0,013514;-0,043027;0,004147;0,0516;0,004
"7/2000";2000;7;0,048994956;-0,004118114;0,027607365;0,093178728;0,031017951;0,084567348;0,070546383;0,055598346;0,059427513;0,018192789;-0,030802167;-0,0171;0,0048
"8/2000";2000;8;0,046332;0,036015;0,012112;0,087792;0,095329;0,053042;0,093724;0,038904;0,068214;0,117773;0,071441;0,0758;0,005
"9/2000";2000;9;0,033787;0,062025;0,039017;0,092556;0,053876;0,018827;0,065905;0,083015;0,026497;0,067925;0,034138;-0,0511;0,0051
"10/2000";2000;10;0,071929998;-0,018074056;-0,017100083;-0,02106104;-0,002666664;0,000765233999999999;-0,01194193;0,00690408899999999;-0,045847802;-0,063241178;-0,135171176;-0,0246;0,0056
"11/2000";2000;11;-0,011168;0,035495;0,071721;0,057747;-0,008736;0,057872;0,04921;0,03601;0,006928;0,012548;0,023716;-0,1025;0,0051
"12/2000";2000;12;0,036931;0,084621;0,054315;0,04637;0,022238;0,107676;0,035138;0,111589;0,044809;0,091996;0,055065;0,0203;0,005
"1/2001";2001;1;-0,099005907;-0,061056996;-0,13769756;-0,068795727;-0,090557467;-0,053795742;-0,067620553;-0,03878875;-0,064157093;0,083409507;0,182415414;0,0395;0,0054
"2/2001";2001;2;-0,080287;-0,029607;0,023526;-0,006585;0,045925;0,032341;0,048754;0,045114;0,031987;0,059328;0,139615;-0,0993;0,0039
"3/2001";2001;3;-0,091039;-0,0666;0,000397;-0,007355;-0,005215;-0,004139;0,025789;0,020926;0,092816;0,045402;0,136441;-0,0703;0,0044
"4/2001";2001;4;-0,017755738;0,102862035;0,059343597;0,016956027;0,017696286;0,064660275;0,085108806;0,028153818;0,022079898;0,034163802;0,05191954;0,0839;0,0039
"5/2001";2001;5;0,066224;0,022247;0,016627;0,018763;0,039576;0,014692;0,006166;-0,008998;-0,014854;0,040074;-0,02615;0,0106;0,0032
"6/2001";2001;6;0,016969;-0,050122;0,002642;-0,034447;-0,00550100000000001;-0,001789;-0,020874;-0,018969;-0,061168;-0,033285;-0,050254;-0,0175;0,0028
"7/2001";2001;7;0,059876064;-0,017739722;-0,031497466;-0,061913852;-0,031083052;-0,093477384;-0,02818816;-0,024611587;-0,031714683;-0,040827787;-0,100703851;-0,0183;0,003
"8/2001";2001;8;-0,008547;0,01958;0,019269;-0,001016;0,009365;0,007974;-0,009699;0,005458;0,018953;-0,00357;0,004977;-0,0591;0,0031
"9/2001";2001;9;-0,075298;-0,160674;-0,063789;-0,063201;-0,058066;-0,109931;-0,020985;-0,058575;-0,046776;-0,055863;0,019435;-0,0915;0,0028
"10/2001";2001;10;-0,030777747;-0,005870865;-0,023832809;-0,006538532;0,000568430999999998;0,021520458;0,055387557;0,009372618;0,003407589;-0,001248247;0,0295295;0,028;0,0022
"11/2001";2001;11;0,044655;0,053007;0,018286;0,019605;0,033458;0,020507;0,01362;-0,026837;0,016073;0,026935;-0,01772;0,0787;0,0017
"12/2001";2001;12;0,022091;0,094744;0,042589;0,052696;0,030755;0,035954;0,055808;0,072803;0,042901;0,038171;0,01608;0,0178;0,0015
"1/2002";2002;1;-0,072638566;-0,059395336;-0,048305257;-0,018811793;-0,011613602;-0,009783774;-0,015050035;0,015715269;0,016829154;0,034563402;0,107201968;-0,0161;0,0014
"2/2002";2002;2;-0,114433;-0,014591;-0,002068;0,014632;0,0026;0,01112;0,021821;0,035068;0,010148;0,047707;0,16214;-0,0217;0,0013
"3/2002";2002;3;0,050174;0,052287;0,05314;0,02741;0,058192;0,071129;0,089157;0,05901;0,106443;0,095489;0,045315;0,0447;0,0013
"4/2002";2002;4;-0,030635605;0,039472488;-0,073426353;-0,086668582;0,004827168;0,019127853;0,013202784;0,018308673;0,013503483;-0,013050037;0,017585568;-0,0496;0,0015
"5/2002";2002;5;-0,125537;-0,004633;-0,018285;0,001529;-0,014557;-0,016721;-0,036147;0,010612;-0,058522;-0,044916;0,080621;-0,0105;0,0014
"6/2002";2002;6;-0,140548;-0,026169;-0,10665;-0,00609;0,003544;0,007095;-0,019224;-0,038114;-0,085743;-0,061023;0,079525;-0,0702;0,0013
"7/2002";2002;7;-0,240399159;-0,08502494;-0,109896787;-0,128743615;-0,077968891;-0,092989897;-0,135571436;-0,071584513;-0,090873783;-0,17732715;0,063072009;-0,0811;0,0015
"8/2002";2002;8;0,136939;0,028129;0,016925;0,046758;-0,021444;-0,014781;-0,001846;-0,008627;0,014106;0,002542;-0,134397;0,008;0,0014
"9/2002";2002;9;-0,134273;-0,034374;-0,04841;-0,066621;0,007276;-0,079838;-0,086492;-0,054258;-0,115784;-0,155558;-0,0212850000000001;-0,1;0,0014
"10/2002";2002;10;0,028254717;0,007073919;0,041015943;0,021313665;0,053205741;0,03083913;0,057154788;0,049756194;-0,060714654;-0,072831759;-0,101086476;0,075;0,0014
"11/2002";2002;11;0,133464;0,012088;-0,027995;0,053496;0,011786;0,006572;0,019572;-0,024254;0,036169;0,09962;-0,033844;0,0613;0,0012
"12/2002";2002;12;-0,014243;0,018907;0,003144;-0,022693;-0,009554;0,017162;0,040963;0,039021;0,045582;0,028384;0,042627;-0,0533;0,0011
"1/2003";2003;1;-0,243740497;-0,079923844;-0,060595535;-0,0475475;-0,036263227;-0,037960923;-0,025366341;-0,008383375;0,023173803;0,062920017;0,306660514;-0,0234;0,001
"2/2003";2003;2;-0,219276;-0,069986;-0,030385;-0,045699;-0,02173;-0,011802;-0,008171;-0,008384;-0,023814;0,01466;0,233936;-0,0154;9e-04
"3/2003";2003;3;0,007919;-0,00653;0,014815;0,03769;0,020756;0,029371;0,041232;0,056995;0,076583;0,060657;0,052738;0,0103;0,001
"4/2003";2003;4;0,216878904;0,061696242;0,054114831;0,06134859;0,063222714;0,051156792;0,054838107;0,046301652;0,037257705;0,068937993;-0,147940911;0,0828;0,001
"5/2003";2003;5;0,189752;0,098095;0,090459;0,096552;0,062692;0,066977;0,091511;0,074932;0,056055;0,084116;-0,105636;0,0635;9e-04
"6/2003";2003;6;0,04824;0,00687;-0,032502;0,041466;0,040706;-0,007426;0,000823000000000001;0,006729;0,014174;0,027761;-0,020479;0,0163;0,001
"7/2003";2003;7;-0,045736691;-0,038347309;0,002831166;-0,034632598;0,023887089;0,015792192;-0,014580566;-0,011057046;-0,013659646;-0,043249206;0,002487485;0,0231;7e-04
"8/2003";2003;8;0,048171;0,01449;0,015576;0,027431;0,005033;0,010385;0,028948;0,0277;0,00413;0,026287;-0,021884;0,0249;7e-04
"9/2003";2003;9;0,041063;0,042748;0,024254;0,01246;0,042657;0,022897;0,0269;0,004116;0,028307;0,004218;-0,036845;-0,0091;8e-04
"10/2003";2003;10;0,056072871;0,003252744;0,057096846;0,036021942;0,061064874;0,028594377;0,042601356;0,040620339;0,044757198;0,031273695;-0,024799176;0,0603;7e-04
"11/2003";2003;11;0,024916;0,021116;0,019456;-0,01675;0,022242;0,020794;0,04179;0,011492;0,006489;0,010592;-0,014324;0,0166;7e-04
"12/2003";2003;12;0,060134;0,037856;0,038201;0,054767;0,050066;0,029306;0,014022;0,018936;0,02399;0,024308;-0,035826;0,0455;8e-04
"1/2004";2004;1;-0,050476426;0,010708281;-0,017246229;0,024216759;-0,005202197;0,006921072;0,017125857;0,02571426;0,020632347;0,066928005;0,117404431;0,0231;7e-04
"2/2004";2004;2;-0,000367999999999999;-0,011183;0,000279;0,004363;0,037289;0,020402;0,02752;0,035975;0,058121;0,053544;0,053912;0,0155;6e-04
"3/2004";2004;3;-0,05673;-0,026567;0,006619;-0,01907;-0,000875999999999999;0,016585;0,007219;0,010119;0,012959;0,04989;0,10662;-0,0107;9e-04
"4/2004";2004;4;-0,008717709;-0,047125078;-0,02119117;-0,005520515;-0,039713674;-0,028122094;-0,0627627;-0,05422417;-0,042889847;-0,023772749;-0,01505504;-0,0242;8e-04
"5/2004";2004;5;0,027591;-0,006035;0,008103;-0,006394;-0,025464;0,000628000000000002;0,00569;0,018583;0,003561;0,02047;-0,00712100000000001;0,0141;6e-04
"6/2004";2004;6;0,070841;0,034429;0,033323;0,035323;0,002879;0,02329;0,045641;0,036331;0,0482;0,00891;-0,061931;0,0216;8e-04
"7/2004";2004;7;-0,021708687;-0,043027985;-0,008374366;0,007995996;0,016751232;-0,005723718;-0,013519506;-0,024503479;-0,023187164;-0,01132131;0,010387377;-0,0377;0,001
"8/2004";2004;8;0,011081;0,024466;0,035122;0,035607;0,047964;0,042771;0,035068;0,022301;0,039619;0,00433;-0,006751;0,0027;0,0011
"9/2004";2004;9;0,043728;-0,001714;0,009383;0,016534;0,012034;0,009288;0,000486999999999999;0,028143;-0,002654;0,023701;-0,020027;0,0206;0,0011
"10/2004";2004;10;0,015042942;0,073041885;0,006390603;0,020930049;0,026191782;0,023658318;0,024329646;0,038295666;0,026148825;0,047198754;0,032155812;0,0178;0,0011
"11/2004";2004;11;0,056384;0,058733;0,041366;0,041309;0,08923;0,06128;0,029201;0,064732;0,050786;0,054549;-0,00183500000000002;0,0482;0,0015
"12/2004";2004;12;0,036938;0,048845;0,022674;0,001222;0,008331;0,026557;0,019555;-8,80000000000011e-05;0,040795;0,012932;-0,024006;0,0352;0,0016
